jump_percentage,pre_jump_price,post_jump_price,post_jump_V_B,payout_Class_A,payout_anUSD,anUSD_haircut_pct,equity_wiped_out,is_anUSD_solvent
-20.0,25.0,20.0,-0.0011999999999998678,1.0048000000000001,1.0024657534246575,0.0,True,True
-40.0,25.0,15.0,-0.25240000000000007,0.7535999999999999,1.0024657534246575,0.0,True,True
-60.0,25.0,10.0,-0.5035999999999999,0.5024000000000001,1.0024657534246575,0.0,True,True
-75.0,25.0,6.25,-0.692,0.314,0.628,37.354468433998356,True,False
-85.0,25.0,3.7500000000000004,-0.8176,0.18840000000000004,0.3768000000000001,62.41268106039901,True,False
-95.0,25.0,1.250000000000001,-0.9431999999999999,0.06280000000000005,0.1256000000000001,87.47089368679966,True,False
