candidate,regime,regime_name,seed,peg_vol,max_dev_pct,resets,haircut_pct,all_gates_pass
Whitepaper Baseline,HIGH_YIELD,High Staking Yield Regime (q = 10%),404,42.19966809925596,2.765873497785609,300,0.0,False
Whitepaper Baseline,HIGH_YIELD,High Staking Yield Regime (q = 10%),505,42.23262878031699,2.7333793331472567,227,0.0,False
Whitepaper Baseline,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),101,42.281717918900846,2.740685546740207,327,0.0,False
Whitepaper Baseline,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),202,42.16626107438581,2.6688304722176426,244,0.0,False
Whitepaper Baseline,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),303,42.34740239028258,2.6319457355581832,325,0.0,False
Whitepaper Baseline,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),404,42.1379350008391,2.7600487772222015,300,0.0,False
Whitepaper Baseline,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),505,42.179495018137644,2.6592634826515638,224,0.0,False
Whitepaper Baseline,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),101,42.32073536343628,2.657817766151338,288,0.0,False
Whitepaper Baseline,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),202,42.23891781334542,2.727336656602697,244,0.0,False
Whitepaper Baseline,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),303,42.118136815726366,2.684828897499991,325,0.0,False
Whitepaper Baseline,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),404,42.197775331119836,2.6879756291192325,300,0.0,False
Whitepaper Baseline,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),505,42.04138707357861,2.6343022840275787,224,0.0,False
Fragile Narrow Vector,CALM_BULL,Calm Bull Market,101,42.41507031859547,2.704492334141384,251,0.0,False
Fragile Narrow Vector,CALM_BULL,Calm Bull Market,202,42.657188364631196,3.326026937886617,0,0.0,False
Fragile Narrow Vector,CALM_BULL,Calm Bull Market,303,42.455956251960245,3.3858441956884477,94,0.0,False
Fragile Narrow Vector,CALM_BULL,Calm Bull Market,404,42.36044928611502,2.5629807565783924,292,0.0,False
Fragile Narrow Vector,CALM_BULL,Calm Bull Market,505,42.403358817123305,2.841942567507172,4,0.0,False
Fragile Narrow Vector,NORMAL,Normal Calibrated Market,101,42.46731649110461,2.847884797441902,288,0.0,False
Fragile Narrow Vector,NORMAL,Normal Calibrated Market,202,42.501119578432686,3.1919529422658854,296,0.0,False
Fragile Narrow Vector,NORMAL,Normal Calibrated Market,303,42.596860178942734,3.6461389675627287,354,0.0,False
Fragile Narrow Vector,NORMAL,Normal Calibrated Market,404,42.537013564492185,2.635276437256795,317,0.0,False
Fragile Narrow Vector,NORMAL,Normal Calibrated Market,505,42.45364661642932,3.079557425931556,219,0.0,False
Fragile Narrow Vector,HIGH_VOLATILITY,Turbulent High Volatility,101,42.45190667007673,3.494386986069964,345,0.0,False
Fragile Narrow Vector,HIGH_VOLATILITY,Turbulent High Volatility,202,42.45747168495792,2.9033456466125207,259,0.0,False
