track,H_d,H_u,R,R_prime,R_tilde,sigma,crash_tolerance_pct,peg_volatility_pct,annual_reset_rate,utility_score
Tranching_Safety,0.15,1.75,0.09,0.02,0.1,1.2,-54.86880466472304,1.5864678388604494,0.9598263966169596,90.4718931100468
Tranching_Safety,0.15,1.75,0.09,0.02,0.15,0.6,-53.702623906705526,0.7932339194302247,0.4799131983084798,105.743235184761
Tranching_Safety,0.15,1.75,0.09,0.02,0.15,0.8986,-53.702623906705526,1.188,0.71875,97.91104956268222
Tranching_Safety,0.15,1.75,0.09,0.02,0.15,1.2,-53.702623906705526,1.5864678388604494,0.9598263966169596,90.0054208068398
Tranching_Safety,0.15,1.75,0.09,0.03,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.09,0.03,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.09,0.03,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.09,0.03,0.1,0.6,-54.75218658892127,0.7932339194302247,0.4799131983084798,106.16306025764729
Tranching_Safety,0.15,1.75,0.09,0.03,0.1,0.8986,-54.75218658892127,1.188,0.71875,98.3308746355685
Tranching_Safety,0.15,1.75,0.09,0.03,0.1,1.2,-54.75218658892127,1.5864678388604494,0.9598263966169596,90.4252458797261
Tranching_Safety,0.15,1.75,0.09,0.03,0.15,0.6,-53.58600583090378,0.7932339194302247,0.4799131983084798,105.6965879544403
Tranching_Safety,0.15,1.75,0.09,0.03,0.15,0.8986,-53.58600583090378,1.188,0.71875,97.86440233236152
Tranching_Safety,0.15,1.75,0.09,0.03,0.15,1.2,-53.58600583090378,1.5864678388604494,0.9598263966169596,89.9587735765191
Tranching_Safety,0.15,1.75,0.09,0.04,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.09,0.04,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.09,0.04,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.09,0.04,0.1,0.6,-54.63556851311952,0.7932339194302247,0.4799131983084798,106.1164130273266
Tranching_Safety,0.15,1.75,0.09,0.04,0.1,0.8986,-54.63556851311952,1.188,0.71875,98.28422740524782
Tranching_Safety,0.15,1.75,0.09,0.04,0.1,1.2,-54.63556851311952,1.5864678388604494,0.9598263966169596,90.3785986494054
Tranching_Safety,0.15,1.75,0.09,0.04,0.15,0.6,-53.46938775510204,0.7932339194302247,0.4799131983084798,105.6499407241196
Tranching_Safety,0.15,1.75,0.09,0.04,0.15,0.8986,-53.46938775510204,1.188,0.71875,97.81775510204082
Tranching_Safety,0.15,1.75,0.09,0.04,0.15,1.2,-53.46938775510204,1.5864678388604494,0.9598263966169596,89.9121263461984
Tranching_Safety,0.15,2.0,0.06,0.02,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.06,0.02,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.06,0.02,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.06,0.02,0.1,0.6,-54.55079271873164,0.813265079011796,0.4150600634019284,106.30086039510029
Tranching_Safety,0.15,2.0,0.06,0.02,0.1,0.8986,-54.55079271873164,1.2179999999999997,0.6216216216216215,98.57734411451969
