H_d,H_u,R,sigma,mean_peg_vol,mean_burn_avax,mean_n_down,mean_n_up
0.3,1.75,0.06,1.2,0.7102484622395174,155999.9999999998,1.3333333333333333,313.3333333333333
0.3,1.75,0.073,0.6,3.9331774000948294,155999.9999999998,1.0,154.66666666666666
0.3,1.75,0.073,0.8986,0.9080874427230855,155999.9999999998,1.3333333333333333,309.6666666666667
0.3,1.75,0.073,1.2,1.1780594785289495,155999.9999999998,1.3333333333333333,274.0
0.3,1.75,0.085,0.6,3.2783240461206886,155999.9999999998,1.0,172.0
0.3,1.75,0.085,0.8986,0.8253838720686973,155999.9999999998,1.3333333333333333,297.0
0.3,1.75,0.085,1.2,0.5115415609883917,155999.9999999998,1.0,323.6666666666667
0.3,2.0,0.06,0.6,1.0111341874072386,155999.9999999998,1.0,306.6666666666667
0.3,2.0,0.06,0.8986,1.917363313354909,155999.9999999998,1.3333333333333333,238.0
0.3,2.0,0.06,1.2,1.4940248189327854,155999.9999999998,1.6666666666666667,211.66666666666666
0.3,2.0,0.073,0.6,2.1864325552175305,155999.9999999998,1.0,240.33333333333334
0.3,2.0,0.073,0.8986,1.0128547046872458,155999.9999999998,1.0,307.6666666666667
0.3,2.0,0.073,1.2,0.5268549081188145,155999.9999999998,1.6666666666666667,310.6666666666667
0.3,2.0,0.085,0.6,3.127167246564575,155999.9999999998,0.6666666666666666,90.33333333333333
0.3,2.0,0.085,0.8986,1.2363976876140748,155999.9999999998,1.6666666666666667,274.6666666666667
0.3,2.0,0.085,1.2,0.7078043650919698,155999.9999999998,1.0,327.0
0.3,2.25,0.06,0.6,1.9806383219366905,155999.9999999998,0.6666666666666666,158.33333333333334
0.3,2.25,0.06,0.8986,1.154164795440816,155999.9999999998,1.3333333333333333,262.6666666666667
0.3,2.25,0.06,1.2,1.7800507343324565,155999.9999999998,1.0,233.0
0.3,2.25,0.073,0.6,2.758744138481022,155999.9999999998,1.0,227.0
0.3,2.25,0.073,0.8986,0.954561567294284,155999.9999999998,1.3333333333333333,285.0
0.3,2.25,0.073,1.2,0.7571538161258685,155999.9999999998,1.0,280.0
0.3,2.25,0.085,0.6,2.2257138297735533,155999.9999999998,0.3333333333333333,30.666666666666668
0.3,2.25,0.085,0.8986,1.688112166053333,155999.9999999998,1.0,246.0
0.3,2.25,0.085,1.2,1.3447497398758739,155999.9999999998,2.0,244.33333333333334
0.3,2.5,0.06,0.6,4.3635380498344984,155999.9999999998,1.0,145.66666666666666
0.3,2.5,0.06,0.8986,1.8742143403055043,155999.9999999998,1.3333333333333333,226.0
0.3,2.5,0.06,1.2,1.5240779395155182,155999.9999999998,1.3333333333333333,253.33333333333334
0.3,2.5,0.073,0.6,1.0250435992908111,155999.9999999998,1.0,254.66666666666666
0.3,2.5,0.073,0.8986,2.021324063209659,155999.9999999998,1.0,261.6666666666667
0.3,2.5,0.073,1.2,0.8840761465695827,155999.9999999998,1.3333333333333333,303.6666666666667
0.3,2.5,0.085,0.6,2.4195565337647325,155999.9999999998,0.6666666666666666,137.0
0.3,2.5,0.085,0.8986,3.051891115161574,155999.9999999998,1.0,194.66666666666666
0.3,2.5,0.085,1.2,1.0008866661117481,155999.9999999998,1.0,311.3333333333333
0.35,1.75,0.06,0.6,3.932673957825964,155999.9999999998,1.0,157.66666666666666
0.35,1.75,0.06,0.8986,3.1386203584159773,155999.9999999998,1.3333333333333333,160.0
0.35,1.75,0.06,1.2,0.9084315685891107,155999.9999999998,1.3333333333333333,304.6666666666667
